Date,CustomerID,Invoice,ProductName,Category,Sales,CurrentPrice,CompetitorPrice,Rating,RecencyDays,FrequencyMonths,MonetaryValue
2024-08-18,CUST-003,INV-038,Utensil Set,Kitchen,2,778,784,4.1,3,15,62000
2024-08-23,CUST-014,INV-039,Desk Lamp,Decor,1,870,864,3.8,55,3,8000
2024-08-23,CUST-014,INV-039,Monitor Stand,Office,1,919,892,4.1,55,3,8000
2024-08-28,CUST-019,INV-040,Sofa,Furniture,1,4961,4731,3.6,25,6,19000
2024-08-28,CUST-019,INV-040,Area Rug,Decor,1,1776,1869,4.2,25,6,19000
2024-08-28,CUST-019,INV-040,Wall Art,Decor,1,816,890,4.3,25,6,19000
2024-09-07,CUST-005,INV-041,Dining Table,Furniture,1,7836,7846,3.7,60,3,9500
2024-09-07,CUST-005,INV-041,Dining Chair,Furniture,1,2605,2238,4.8,60,3,9500
2024-09-12,CUST-012,INV-042,Cookware Set,Kitchen,1,3354,3127,4.9,180,1,2000
2024-09-12,CUST-012,INV-042,Dishware Set,Kitchen,3,1172,1059,4.1,180,1,2000
2024-09-17,CUST-018,INV-043,Office Desk,Office,1,4644,4099,3.7,35,5,15000
2024-09-17,CUST-018,INV-043,Desk Organizer,Office,1,521,524,4.6,35,5,15000
2024-09-22,CUST-006,INV-044,Bed Frame,Furniture,1,5754,5543,4.5,8,10,38000
2024-09-22,CUST-006,INV-044,Floor Lamp,Decor,1,1191,1244,4.9,8,10,38000
2024-09-22,CUST-006,INV-044,Throw Pillow,Decor,1,608,721,3.6,8,10,38000
2024-09-27,CUST-001,INV-045,Office Chair,Office,1,3625,3540,4.8,5,12,45000
2024-09-27,CUST-001,INV-045,Desk Lamp,Decor,1,896,836,4.3,5,12,45000
2024-10-07,CUST-010,INV-046,Sofa,Furniture,1,5213,4689,3.7,7,14,55000
2024-10-07,CUST-010,INV-046,Coffee Table,Furniture,1,1504,1558,3.7,7,14,55000
2024-10-07,CUST-010,INV-046,Floor Lamp,Decor,1,1159,1242,3.8,7,14,55000
2024-10-12,CUST-009,INV-047,Dining Chair,Furniture,1,2453,2255,4.6,15,9,31000
2024-10-12,CUST-009,INV-047,Utensil Set,Kitchen,2,783,750,3.8,15,9,31000
2024-10-17,CUST-013,INV-048,Office Desk,Office,1,4637,4408,3.6,2,18,78000
2024-10-17,CUST-013,INV-048,Monitor Stand,Office,1,857,850,5.0,2,18,78000
2024-10-17,CUST-013,INV-048,Desk Lamp,Decor,1,901,828,4.2,2,18,78000
2024-10-22,CUST-007,INV-049,Area Rug,Decor,1,1828,1929,4.5,20,7,22000
2024-10-22,CUST-007,INV-049,Wall Art,Decor,1,804,935,5.0,20,7,22000
2024-10-22,CUST-007,INV-049,Throw Pillow,Decor,1,588,680,3.8,20,7,22000
2024-10-27,CUST-015,INV-050,Cookware Set,Kitchen,1,3395,3322,4.6,10,11,42000
2024-10-27,CUST-015,INV-050,Utensil Set,Kitchen,1,792,739,3.6,10,11,42000
2024-10-27,CUST-015,INV-050,Cutting Board,Kitchen,2,381,456,4.8,10,11,42000
2024-11-06,CUST-002,INV-051,Sofa,Furniture,1,4832,4601,4.8,12,8,28000
2024-11-06,CUST-002,INV-051,Area Rug,Decor,1,1867,1932,3.9,12,8,28000
2024-11-06,CUST-002,INV-051,Floor Lamp,Decor,1,1169,1273,4.2,12,8,28000
2024-11-11,CUST-011,INV-052,Dining Table,Furniture,1,7726,7459,3.9,30,4,12000
2024-11-11,CUST-011,INV-052,Dining Chair,Furniture,1,2615,2409,4.3,30,4,12000
2024-11-11,CUST-011,INV-052,Dishware Set,Kitchen,2,1169,1151,4.0,30,4,12000
2024-11-16,CUST-017,INV-053,Office Chair,Office,1,3389,3639,3.6,6,13,50000
2024-11-16,CUST-017,INV-053,Office Desk,Office,1,4401,4266,3.9,6,13,50000
2024-11-16,CUST-017,INV-053,Desk Lamp,Decor,1,925,815,4.7,6,13,50000
2024-11-21,CUST-004,INV-054,Bed Frame,Furniture,1,5786,5850,4.1,45,5,18000
2024-11-21,CUST-004,INV-054,Area Rug,Decor,1,1764,1925,3.6,45,5,18000
2024-11-26,CUST-020,INV-055,Cookware Set,Kitchen,3,3660,3313,3.7,70,3,7000
2024-11-26,CUST-020,INV-055,Dishware Set,Kitchen,3,1234,1111,4.6,70,3,7000
2024-12-06,CUST-003,INV-056,Sofa,Furniture,1,5242,4632,4.6,3,15,62000
2024-12-06,CUST-003,INV-056,Coffee Table,Furniture,1,1521,1527,4.8,3,15,62000
2024-12-06,CUST-003,INV-056,Throw Pillow,Decor,1,624,709,4.6,3,15,62000
2024-12-11,CUST-016,INV-057,Office Desk,Office,1,4640,4049,4.3,120,2,4000
2024-12-11,CUST-016,INV-057,Bookshelf,Office,1,2001,1964,4.7,120,2,4000
2024-12-11,CUST-016,INV-057,Desk Lamp,Decor,1,929,857,4.8,120,2,4000
2024-12-16,CUST-019,INV-058,Dining Table,Furniture,1,8146,7645,3.8,25,6,19000
2024-12-16,CUST-019,INV-058,Utensil Set,Kitchen,1,762,722,4.0,25,6,19000
2024-12-16,CUST-019,INV-058,Dishware Set,Kitchen,1,1185,1095,3.6,25,6,19000
2024-12-21,CUST-008,INV-059,Area Rug,Decor,1,1823,1934,4.2,90,2,5000
2024-12-21,CUST-008,INV-059,Floor Lamp,Decor,1,1140,1339,4.6,90,2,5000
2024-12-21,CUST-008,INV-059,Wall Art,Decor,1,800,903,4.5,90,2,5000
2024-12-26,CUST-018,INV-060,Cookware Set,Kitchen,1,3348,3276,3.9,35,5,15000
2024-12-26,CUST-018,INV-060,Utensil Set,Kitchen,1,828,730,4.6,35,5,15000
